business,license,email,phone,city,zip,county,license_type,trade_name
"F'NA BUDS, LLC. ",DAAA-WLXZ-1SWQ,FNABUDS1@GMAIL.COM,5803810447.0,HOLLIS,73550,HARMON,dispensaries, F'NA BUDS
SLOW BURN MEDICAL DISPENSARY ,DAAA-V1YW-EXQD,DEREKWOODS14884@YAHOO.COM,5803187897.0,HOLLIS,73550,HARMON,dispensaries, SLOW BURN MEDICAL DISPENSARY
"SLOWBURN, LLC ",DAAA-TD8D-P0GM,KARLI.OLIVER7@GMAIL.COM,5803185165.0,HOLLIS,73550,HARMON,dispensaries,
THE CORNER JOINT LLC ,DAAA-NKUI-NJ4K,THECORNERJOINTLLC@GMAIL.COM,9182328810.0,HOMINY,74035,OSAGE,dispensaries, THE CORNER JOINT
TWO T'S TREES LLC ,DAAA-4K42-BQXD,RODNEY@THEJAMBROS.COM,5804613768.0,HOOKER,73945,TEXAS,dispensaries,
BIG BOY BUDZ LLC ,DAAA-HGDQ-31PI,BIGBOYBUDZ1@GMAIL.COM,2142065801.0,HUGO,74743,CHOCTAW,dispensaries, BIG BOY BUDZ
"CARDINAL HOLDINGS, LLC ",DAAA-VJN7-OUS3,HEATHER@WILDFLOWERBUDCO.COM,5802392771.0,HUGO,74743,CHOCTAW,dispensaries, WILD FLOWER BUD COMPANY
DEEP SOUTH GREENERY ,DAAA-NJZR-LY31,LANCESPARKS25@ME.COM,2147266479.0,HUGO,74743,CHOCTAW,dispensaries, DEEP SOUTH GREENERY
"ELITE CONCENTRATES COMPANAY, LLC ",DAAA-JVNG-VSAV,ELITECONCENTRATESLLC@GMAIL.COM,4053807879.0,HUGO,74743,CHOCTAW,dispensaries,
FOLO FARM LLC ,DAAA-BPV6-4RRW,MATT@STACYLEGALGROUP.COM,4058167228.0,MIAMI,74354,OTTAWA,dispensaries,
FRAPP HOUSE DISPENSARY ,DAAA-NYHS-ZHTA,PANBOI1000@GMAIL.COM,9183232216.0,MIAMI,74354,OTTAWA,dispensaries, FRAPP HOUSE DISPENSARY
FRITZ FIRE HOUSE MIAMI OK LLC ,DAAA-XK3W-F0ET,FRITZMMLLC@GMAIL.COM,9183814246.0,MIAMI,74354,OTTAWA,dispensaries, FRITZ FIRE HOUSE MIAMI OK LLC
GREEN CULTURE LLC ,DAAA-41CD-48KL,UAZHAR@GMAIL.COM,9188991919.0,MIAMI,74354,OTTAWA,dispensaries, GREEN CULTURE MIAMI
"HOMESTEAD HARVEST, LLC ",DAAA-GQQA-L2TI,JEREMY@WAMMHOLDINGSLLC.COM,4176294049.0,MIAMI,74354,OTTAWA,dispensaries,
KBMC GREEN LLC ,DAAA-SZ91-OZA6,MATT@STACYLEGALGROUP.COM,4058167532.0,MIAMI,74354,OTTAWA,dispensaries,
"MG RETAIL AND ASSOCIATES, LLC ",DAAA-E1QV-V6SW,FLIPPINFARMSLLC@GMAIL.COM,2252532267.0,MIAMI,74354,OTTAWA,dispensaries, FLIPPIN FARMS OF MIAMI
MITS FARMACY ,DAAA-EJHE-KGJE,TIMJERRI72@GMAIL.COM,9188013221.0,MIAMI,74354,OTTAWA,dispensaries, MITS FARMACY
SUGAR LEAF HOLDINGS LLC. ,DAAA-4KIO-BNFQ,JASONELSASSERCV@GMAIL.COM,7606006809.0,MIAMI,74354,OTTAWA,dispensaries, CLASSY GRASS ON MAIN
AMERICAN CANNABIS COMPANY LLC ,DAAA-WYC2-UXOW,HEALINGFARMS420@GMAIL.COM,4059999420.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, AMERICAN CANNABIS
ASHUTOSH D. CHATURVEDI ,DAAA-EJ09-JV7J,ASHUTOSH20@HOTMAIL.COM,3162004679.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, DIVINE HERBS
BCN INDUSTRIES LLC ,DAAA-O2RM-PKIN,JAY@KINGSCOAST.COM,9514734121.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, HIGH HOUSE
D&R ALTERNATE CARE INC ,DAAA-4JEC-SESC,OKCDISP@YAHOO.COM,2544850894.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, MEDPOINT420 MIDWEST
DOOBIES_MWC LLC ,DAAA-HFBM-4Q53,TIMSTHOMAS@AOL.COM,4052466153.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, DOOBIES_MWC
"EDEN PHARMACEUTICALS, LLC ",DAAA-4KPI-JYR0,MICAHAYS12@GMAIL.COM,4055842091.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, EDEN PHARMACEUTICALS
ELM STREET DISPENSARY LLC ,DAAA-41FK-MB4O,ELMSTREETDISPENSARY@GMAIL.COM,4054134979.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries,
FRED'S FARMACOPIA EMPORIUM LTD ,DAAA-NKK7-YI9O,BAYW@FREDSFARMACOPIA.COM,4055014479.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries,
"GREEN BEE MEDS, LLC ",DAAA-NK67-PT7I,KEVINBD@GMAIL.COM,6263751440.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries,
"GREEN ELEPHANT DISPENSARY, LLC ",DAAA-EYMC-PF9C,OKLAHOMASIZE@AOL.COM,4054216408.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, GREEN ELEPHANT
HAPPY GOODFELLOW'S LLC ,DAAA-4JSH-J2LS,HAPPYGOODFELLOWS@GMAIL.COM,4055034450.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, GREEN PLUS
"HARRIBO, LLC ",DAAA-KYEI-KSD3,ZACBOMAR@LIVE.COM,4797193308.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, THE GREEN TEMPLE
K FOR KUSH LLC ,DAAA-4JRE-IM1Z,XEBIROKR@GMAIL.COM,4059790536.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, K FOR KUSH
PACHAMA LLC ,DAAA-EKU6-X2QE,K.SULLIVAN25@YAHOO.COM,8064338769.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, GREEN HEALTH CLINIC
"POT OF GOLD, LLC ",DAAA-0OSQ-M3HP,LISSA@POTOFGOLDLLC.COM,7204996170.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries," POT OF GOLD, LLC"
RS.RV ENTERPRISES LLC ,DAAA-V1LJ-W4TL,MWC.OWNER@CBDPLUSUSA.COM,4054317677.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, CBD PLUS USA
SOUL LEAF LLC ,DAAA-EY8X-A4MI,S.FRANKLIN9@ICLOUD.COM,4052509520.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, SOUL LEAF
THE GREEN TEMPLE ,DAAA-NJ1I-KI0H,GMCCUTCHAN@GREAT-WESTCORP.COM,4054082618.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries,
"TK0528, LLC ",DAAA-EK8Y-UVFR,KAIMBRIWHITE@CLIMB-COLLECTIVE.COM,4698882423.0,MIDWEST CITY,73110,OKLAHOMA,dispensaries, CAPITAL DANK
